Sub-Category,TotalSales,MeanYoYGrowth,MonthlyVolatilityCV,AvgOrderValue,OrderLines,PC1,PC2,Cluster,ClusterName
Accessories,164186.7,37.638071385980304,0.7542617692871242,217.17817460317463,756,-0.1416647870684174,0.32016858065428194,1,"High Volume, Stable Demand"
Appliances,104618.40299999999,39.92758418197722,0.8357787097300037,227.92680392156862,459,0.020453482099095942,-0.1596341620435566,1,"High Volume, Stable Demand"
Art,26705.41,16.605553026749924,0.5940159859356574,34.019630573248406,785,-1.3562801267721292,-1.3162397638684222,0,"Low Volume, Stable Demand"
Binders,200028.785,21.87360669860654,0.9234407692773996,134.0675502680965,1492,-0.20772768131937547,0.4133779812261662,1,"High Volume, Stable Demand"
Bookcases,113813.19870000001,23.806516259103613,0.9402184880576308,503.59822433628324,226,0.2375111939407679,0.3127754818700547,1,"High Volume, Stable Demand"
Chairs,322822.731,7.135789951209726,0.6553044806220527,531.8331647446458,607,-0.37617462628613285,2.1479838406781213,1,"High Volume, Stable Demand"
Copiers,146248.09399999998,84.67181893385128,1.631108509579593,2215.880212121212,66,2.7557704605059836,0.5234314483013202,3,"High-Value, Growing Demand"
Envelopes,16128.045999999998,-2.766643299765414,0.6972174050752975,65.03244354838709,248,-1.244932335712677,-1.040384386149072,0,"Low Volume, Stable Demand"
Fasteners,3001.96,15.703382899686266,0.7849953664441951,14.02785046728972,214,-1.3238358411896478,-1.938089637441391,0,"Low Volume, Stable Demand"
Furnishings,89212.018,28.78893806111394,0.7317495903809402,95.82386466165413,931,-0.5965129936061407,-0.5356924191416873,0,"Low Volume, Stable Demand"
Labels,12347.726,12.192650684234543,0.8687120594371989,34.587467787114846,357,-0.9455371806767547,-1.5052202347751922,0,"Low Volume, Stable Demand"
Machines,189238.63100000002,8.006000579367447,1.3671197561324784,1645.5533130434785,115,1.1682560904835986,1.3207764100199306,3,"High-Value, Growing Demand"
Paper,76828.304,25.413073603906046,0.640279643919763,57.42025710014948,1338,-0.968858489482855,-0.7892713928066342,0,"Low Volume, Stable Demand"
Phones,327782.448,12.340878459166035,0.593474347915662,374.1808767123287,876,-0.5221623791725504,2.02583813376326,1,"High Volume, Stable Demand"
Storage,219343.392,13.179873437023966,0.617570676054831,263.6338846153846,832,-0.6277765989282428,1.0360578902899238,1,"High Volume, Stable Demand"
Supplies,46420.30799999999,192.84484275895375,2.0259650275142254,252.2842826086956,184,4.180567245075489,-2.0333121645168295,2,"Volatile, High-Growth Outlier"
Tables,202810.628,16.410685246324878,0.7630564617851999,645.8937197452229,314,-0.05109543189001258,1.2174343939397274,1,"High Volume, Stable Demand"
